id,title,title_en,chapters,publishing,published_from,published_to,score,scored_by,members,favorites,Action,Adventure,Avant_Garde,Award_Winning,Boys_Love,Comedy,Drama,Fantasy,Girls_Love,Gourmet,Horror,Mystery,Romance,Sci_Fi,Slice_of_Life,Sports,Supernatural,Suspense,Ecchi,Erotica,Josei,Kids,Seinen,Shoujo,Shounen
8382,Mimoza de Sarada,,4,FALSE,1/1/2003,,6.87,159,299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8385,She is Cinderella,She is Cinderella,1,FALSE,1/1/2003,,6.74,368,632,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8391,Hajime-chan ga Ichiban!,,0,FALSE,12/13/1988,6/13/1995,7.27,164,513,4,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8398,RideBack,,62,FALSE,4/25/2003,10/25/2008,7.1,162,1078,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8399,Otenki Oniisan,,9,FALSE,1/1/2005,,6.63,107,244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8400,Inu Catalog,,6,FALSE,9/9/2006,,6.74,356,656,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8401,Maiwai,Maiwai,119,FALSE,1/1/2002,3/1/2008,7.04,125,657,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,Mezase Hero!,,9,FALSE,7/14/2001,1/8/2004,7.31,424,895,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8403,Neji to Lantern,Bolt & Lantern,6,FALSE,1/1/2003,11/1/2004,6.63,158,378,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8411,Hanakanmuri no Hime,,3,FALSE,1/1/2001,,6.68,141,303,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8413,"Kiss, Zekkou, Kiss: Bokura no Baai",,48,FALSE,11/28/2000,11/24/2005,7.14,109,339,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8416,Goshujinsama ni Ki wo Tsukete,,6,FALSE,7/1/2004,1/6/2007,7.11,1316,2443,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8417,Etowa,Love Machine: Etowa,6,FALSE,1/1/2006,,7.15,758,1603,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8418,Hakushaku to Yousei,,0,FALSE,3/3/2004,12/27/2013,7.7,717,3445,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8419,Return,,0,FALSE,1/1/2008,,6.81,232,445,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8421,Tonari no Inuyama-kun,Inuyama-kun Beside Me,1,FALSE,1/1/2008,,6.91,2824,4839,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8425,Angel Lip,Angel Lip,0,FALSE,1/1/1996,,7.01,216,669,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8427,Dousei Recipe,,64,FALSE,4/15/2005,5/7/2010,7.02,1231,3405,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
8434,Odoru! Kremlin Kyuuden,,12,FALSE,2/6/2003,,6.65,1060,2534,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8438,Super-Conductive Brains,,6,FALSE,1/1/2001,,6.62,1174,3296,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8439,Ano Ko to Boku no Ie,,4,FALSE,5/13/2006,7/13/2006,7.24,1236,2500,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8442,Matantei Loki Ragnarok,The Mythical Detective Loki Ragnarok,26,FALSE,3/29/2002,8/30/2004,7.32,778,2242,31,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
8446,Ikigami,Ikigami: The Ultimate Limit,60,FALSE,1/27/2005,2/6/2012,7.82,5911,20785,410,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
8455,Ginban Kaleidoscope,,0,FALSE,8/20/2005,1/1/2006,7.19,156,694,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8456,½ Prince,,82,FALSE,1/25/2007,7/2/2014,7.89,15183,32068,1436,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8457,Tonari no Hijiri-kun,Hijiri's my neighbor,4,FALSE,1/1/2006,,7.15,808,1565,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8461,F.O.X,,40,FALSE,8/9/2002,1/25/2005,6.88,229,633,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8467,Kigeki Ekimae Gyakusatsu,,12,FALSE,10/17/1997,4/17/1999,6.3,285,779,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8470,Chokotto Hime,,98,FALSE,11/26/2005,10/22/2009,7.19,288,1359,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8473,Promise,Promise,0,FALSE,1/1/2005,,7.06,184,616,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8474,Koi ni Ochiru,,3,FALSE,4/25/2002,,7.06,262,571,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8477,Kodomo no Kodomo,,29,FALSE,5/1/2004,1/1/2005,6.63,585,1162,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8478,Akiba Romance!,Akiba Romance!,0,FALSE,9/26/2007,10/26/2009,6.73,384,1594,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8482,Hyakko,,0,TRUE,1/1/2006,,7.58,529,1943,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8483,Kimi no Iru Machi,A Town Where You Live,270,FALSE,5/28/2008,2/12/2014,7.91,32775,68728,4202,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8504,Work In,,6,FALSE,1/1/2007,,7.44,2076,4048,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8505,Ano Hi Bokura wa Koutei de,,10,FALSE,1/1/2007,,6.75,381,712,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8506,The Rapeman,,90,FALSE,1/1/1985,1/1/1992,5.57,273,1177,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8507,Otogibanashi de Himitsu no Kiss,The Secret Kiss in a Fairy Tale,4,FALSE,1/1/2003,,7.02,475,984,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8508,Love and Ecchi,,0,FALSE,1/1/2002,,6.31,197,424,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
8509,Sora Oto,,11,FALSE,1/1/2008,,7.36,672,1643,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8510,Watashi no + Okusuri,,5,FALSE,1/1/2006,,7.32,1726,3285,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8511,Cinema no Teikoku,,17,FALSE,1/1/2002,,6.67,306,668,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
8513,Hiiragi Shougakkou Renai Club,,45,FALSE,11/22/2007,12/22/2011,6.61,282,1456,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8518,"Toki Nazumi, Futari Nazumu.",,5,FALSE,1/1/2006,,6.86,153,323,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8519,Yoru no Gakkou e Oide yo!,,6,FALSE,1/1/2007,,7.42,1485,2804,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8522,Kimi to Koi ni Ochiru Mahou de,,6,FALSE,1/1/2008,,7.51,3072,5916,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8523,Yuuwaku no Bansan,,3,FALSE,2/16/2007,,6.63,1292,2225,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8525,Rockman X,,13,FALSE,1/1/1994,,6.85,243,585,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8529,Perfect Partner,Perfect Partner,4,FALSE,1/1/2002,,6.55,1123,2241,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8530,Badminton Girl,,10,FALSE,5/1/2008,4/18/2009,6.75,1038,2083,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8534,Glittering X-Mas Story 2003,Glittering X-Mas Story 2003,2,FALSE,1/1/2003,,7.23,1097,1895,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8535,One Missed Call,,13,FALSE,1/1/2007,,6.19,435,1207,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8540,Night Head Genesis,Night Head Genesis,23,FALSE,7/26/2006,10/25/2008,7,297,1013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8545,Kamuko,,1,FALSE,6/28/2003,,5.97,232,421,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8548,Hana Meiro,,1,FALSE,11/28/2003,,6.16,131,239,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8555,Anata no Iro,,1,FALSE,11/28/2003,,6.15,218,392,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8557,Kimi to Boku.,,103,FALSE,9/24/2004,3/18/2022,8.18,1800,10680,246,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8558,UFO Robo Grendizer,,5,FALSE,10/1/1975,5/1/1976,6.34,553,1161,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8560,Tetsu no Shojo Jun,,3,FALSE,5/15/1983,11/15/1983,5.34,319,650,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8562,Chronicles of the Grim Peddler,Chronicles of the Grim Peddler,31,FALSE,1/1/2005,,7.14,355,1555,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8566,Susanoou,,0,FALSE,7/11/1979,3/25/1981,7.02,191,817,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8570,Interview with the Vampire,Interview with the Vampire,3,FALSE,1/1/1994,,6.88,207,641,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8571,Shin Getter Robo,,9,FALSE,1/1/1996,1/1/1999,7.77,1347,2477,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8573,Mixed Vegetables,Mixed Vegetable,54,FALSE,10/25/2005,11/22/2007,7.62,2518,5956,69,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
8575,Chissana Koi no Melody,,1,FALSE,4/30/2004,,5.38,442,772,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8577,Angels' Wings,,1,FALSE,11/28/2003,,5.74,543,943,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8578,Sumire wa Blue,,10,FALSE,7/13/2001,8/10/2002,6.97,638,1294,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
8582,81 Diver,,375,FALSE,9/7/2006,7/17/2014,6.87,610,2118,13,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8583,Clamp no Kiseki,,12,FALSE,1/1/2005,,6.98,668,1663,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8585,Hanako to Guuwa no Teller,Hanako and the Terror of Allegory,19,FALSE,12/26/2003,9/26/2005,7.3,1797,4232,28,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
8586,The Breaker,The Breaker,72,FALSE,6/1/2007,7/20/2010,8.41,66974,135987,6153,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8589,Yuuwaku: Sakaraenai Yokubou,,8,FALSE,12/19/2002,,6.48,643,1324,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8590,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,,79,FALSE,11/28/1995,9/2/1997,7.58,472,1525,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8592,SOS Dai Tokyo Tankentai,,10,FALSE,1/1/1979,1/1/1995,6.15,502,1133,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8593,Yamikin Ushijima-kun,,493,FALSE,5/10/2004,3/4/2019,7.47,1000,7515,54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8594,Junai Clover,,4,FALSE,1/1/2003,,6.56,248,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8595,Houkago Orange,,27,FALSE,8/4/2007,9/20/2008,7.22,490,1624,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
8598,Barbara Ikai,Otherworld Barbara,24,FALSE,7/27/2002,6/28/2005,7.39,156,876,9,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
8600,Honoo no Toukyuuji: Dodge Danpei,,0,FALSE,1/1/1989,1/1/1995,7.62,132,251,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8602,Endless,,1,FALSE,1/1/1998,,6.26,163,293,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8605,Holy☆Hearts!,,12,FALSE,9/26/2005,10/26/2006,6.76,149,398,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8606,Usotsuki na Gemini,The Gemini Which is a Liar,12,FALSE,2/1/2008,10/1/2008,6.69,211,600,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
8612,Shi Hwa Mong,,0,FALSE,1/1/2002,1/1/2012,7.09,158,451,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8635,Love Trial,,8,FALSE,11/1/2007,,6.86,634,1187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8636,Zone-00,Zone-00,0,TRUE,1/1/2000,,7.46,538,2442,85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8641,Jinjuu Houretsuden,,38,FALSE,4/1/1997,9/1/2000,7.8,486,1150,23,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8647,Tribal 12,,14,FALSE,3/20/2007,4/19/2008,6.97,304,759,11,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
8649,Hime 100%,Princess 100%,16,FALSE,5/15/1987,9/1/1988,6.76,119,292,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8650,Ouji to Ken,Sword and Prince,1,FALSE,1/1/2006,,6.79,657,1080,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8652,Zankoku na Kami ga Shihai suru,,55,FALSE,5/26/1992,5/26/2001,8.18,2346,8629,376,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8653,Koyoi wa Kimi to Chi no Kisu wo,A Bloody Kiss Tonight,5,FALSE,1/1/2008,,7.12,1938,3969,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8655,Tsuki-teki Aijin,Lunatic Lover's,8,FALSE,1/1/1988,1/1/1993,6.8,843,2240,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8664,Roman,,10,FALSE,4/19/2007,10/18/2008,7.28,232,713,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8671,Slayers Revolution,Slayers Revolution,6,FALSE,12/1/2008,,7.08,435,1069,8,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8673,Dr. Chanbelee,,1,FALSE,12/19/2000,,6.78,818,1387,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
8677,Little Busters!,,0,TRUE,3/26/2008,,7.93,654,3534,80,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8680,17-sai no Real,,0,FALSE,1/1/1996,,6.43,116,346,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8698,Do-Re-Mi-Fa-Sol-La-Si-Do,,11,TRUE,1/1/2003,,7.25,328,1070,6,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8704,"Suki, Kirai, Suki","Like, Dislike, Like",4,FALSE,7/1/2000,,7.11,534,1039,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
8706,Nora,Nora: The Last Chronicle of Devildom,34,FALSE,3/6/2004,12/6/2006,7.25,1020,2508,87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8707,Hakui no Shihaisha,A Dictator In A White Coat,8,FALSE,1/1/2007,,6.76,1192,2220,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8710,Hotel Hishinumarou,,5,FALSE,5/22/2008,1/1/2015,6.66,393,735,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8715,Oni: 2889-nen no Hanran,,3,FALSE,10/25/1971,,6.06,115,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8719,Mist Story,,7,FALSE,5/6/1991,8/1/1992,6.17,295,638,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8721,Kimi to Boku no Junjou Renai Jijou,,1,FALSE,1/1/2005,,6.99,458,813,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8722,NG Boy x Paradise,,11,FALSE,4/1/2006,5/1/2007,7.14,245,771,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8725,Hisho Ikuseichuu dj - Kawaii Hishosan,Sweet Private Secretary,1,FALSE,8/1/2007,,6.9,324,657,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8727,Meru Meru Mail,,5,FALSE,1/1/2005,1/1/2006,7.16,703,1325,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8734,8,,43,FALSE,1/1/2000,1/1/2005,6.53,179,752,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8735,Naki Shoujo no Tame no Pavane,Pavane for a Dead Girl,0,TRUE,7/30/2008,,7.19,205,1043,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8737,Black City,,4,FALSE,1/1/1992,1/1/1996,6.37,364,808,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8739,Oya Niwa Naisho no Koimonogatari,,6,FALSE,1/1/2001,,6.61,163,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8742,Ashita no Ousama,,53,FALSE,1/1/1996,1/1/2001,8.06,1577,3916,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8743,Bara no Maria,,12,FALSE,10/10/2006,2/10/2009,6.48,800,2430,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744,Kichiku Megane,Brutal Glasses,6,FALSE,8/9/2008,,7,949,2025,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8755,Celebrity Yuukoujouyaku,Celebrity Friendship Treaty,4,FALSE,1/1/2006,,7.06,791,1471,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8756,Shin Koutarou Makaritooru! Juudouhen,,0,FALSE,8/24/1994,1/17/2001,7.65,178,434,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8769,Kage no Matsuri,,1,FALSE,10/30/2007,,6.38,348,662,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8770,Yamamura Sadako no Noroi,,1,FALSE,1/22/2000,,5.1,244,484,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8771,Ai Ore!: Danshikou no Hime to Joshikou no Ouji,Ai Ore! Love Me!,23,FALSE,1/1/2007,12/24/2010,7.25,2451,6045,79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8772,Mazinkaiser,,7,FALSE,1/1/2003,,6.42,182,487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8773,Mazinger Z,,33,FALSE,10/2/1972,8/13/1973,6.65,1714,3990,52,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8775,Mazinger Angel Z,,12,FALSE,12/26/2007,11/26/2008,6.42,113,315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8776,Mazinger Angel,,28,FALSE,5/26/2004,11/25/2006,6.56,180,512,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8781,Marine Blue no Kaze ni Dakarete,,16,FALSE,8/3/1989,12/3/1991,6.66,163,884,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8782,Maou Dante (2002),,0,FALSE,1/26/2002,11/26/2003,6.48,204,629,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8790,U Don't Know Me,U Don't Know Me,8,FALSE,1/1/2008,,7.42,1090,2095,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8794,Suki ja Nai,,5,FALSE,7/1/1999,,6.82,277,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8795,Area no Kishi,The Knight in the Area,503,FALSE,4/26/2006,3/29/2017,7.48,3276,9060,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8799,Umi-chan no Otomodachi,,1,FALSE,12/16/2003,,6.38,440,804,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8802,Fujiiro Sky Coppo,,1,FALSE,10/8/2005,,6.31,681,1172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8803,Kare no Satsujin Keikaku,His Murder Scheme,1,FALSE,4/4/2008,,6.71,1076,1923,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8809,Koi ni Oboreru Houkago,,8,FALSE,1/12/2006,,6.52,537,1097,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8810,Baby★Maybe,,0,FALSE,1/1/2003,,6.59,158,469,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8811,Koisuru Wakusei,,6,FALSE,7/20/2007,6/19/2010,6.52,367,736,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8816,Weiß Side B,,37,FALSE,11/28/2002,8/16/2007,6.96,233,694,14,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8820,Oishinbo,Oishinbo: À la Carte,1039,FALSE,9/30/1983,5/19/2014,7.31,379,1817,33,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8826,Kanojo no Omoide...,Memories of Her...,16,FALSE,8/1/1977,2/1/1982,6.89,473,1962,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8829,Pahanjip,Time and Again,21,FALSE,1/1/2006,1/1/2008,6.88,120,427,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8831,Poppoya Love Letter,Poppaya - Love Letter,5,FALSE,1/1/1999,,6.97,338,713,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
